Club,League,Игрок,М,Мин,З,ВнЗ,Г,Пен,П,Г+П,ЖК,КК
Барселона,Испания. Ла Лига 2020/2021,Педри,35.0,2317,20,9,2,0,3,5,2,0
Барселона,Испания. Ла Лига 2020/2021,Френки де Йонг,35.0,2996,5,2,3,0,4,7,4,0
Барселона,Испания. Ла Лига 2020/2021,Антуан Гризманн,33.0,2382,18,4,12,1,7,19,4,0
Барселона,Испания. Ла Лига 2020/2021,Лионель Месси,33.0,2844,1,2,28,3,9,37,4,0
Барселона,Испания. Ла Лига 2020/2021,Серджи Бускетс,33.0,2266,19,4,0,0,4,4,8,0
Барселона,Испания. Ла Лига 2020/2021,Жорди Альба,32.0,2806,6,0,3,0,5,8,9,0
Барселона,Испания. Ла Лига 2020/2021,Клеман Лангле,31.0,2308,4,4,1,0,0,1,6,1
Барселона,Испания. Ла Лига 2020/2021,Серджиньо Дест,27.0,1797,14,5,2,0,1,3,1,0
Барселона,Испания. Ла Лига 2020/2021,Усман Дембеле,27.0,1546,12,11,5,0,2,7,2,0
Барселона,Испания. Ла Лига 2020/2021,Мартин Брэйтуэйт,26.0,1103,4,15,2,0,2,4,3,0
Барселона,Испания. Ла Лига 2020/2021,Франсишку Тринкау,26.0,640,1,24,3,0,2,5,1,0
Барселона,Испания. Ла Лига 2020/2021,Оскар Мингеса,25.0,1846,7,3,2,0,2,4,4,0
Барселона,Испания. Ла Лига 2020/2021,Рональд Араухо,21.0,1289,4,8,2,0,1,3,2,0
Барселона,Испания. Ла Лига 2020/2021,Миралем Пьянич,17.0,610,5,11,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2020/2021,Жерар Пике,16.0,1332,4,0,0,0,0,0,4,0
Барселона,Испания. Ла Лига 2020/2021,Серджи Роберто,14.0,909,2,5,1,0,2,3,1,0
Барселона,Испания. Ла Лига 2020/2021,Илайш Мориба,12.0,406,2,10,1,0,2,3,1,0
Барселона,Испания. Ла Лига 2020/2021,Самюэль Умтити,12.0,601,1,6,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2020/2021,Филиппе Коутиньо,12.0,661,7,4,2,0,2,4,0,0
Барселона,Испания. Ла Лига 2020/2021,Рикард Пуч,11.0,206,1,9,1,0,0,1,0,0
Барселона,Испания. Ла Лига 2020/2021,Анссумане Фати,7.0,438,6,1,4,0,0,4,1,0
Барселона,Испания. Ла Лига 2020/2021,Хуниор Фирпо,6.0,244,0,4,1,0,1,2,1,0
Барселона,Испания. Ла Лига 2020/2021,Карлес Аленья,2.0,48,0,2,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2020/2021,Всего,,31595,143,143,75,4,49,124,61,1
Барселона,Лига чемпионов 2020/2021,Клеман Лангле,8.0,562,3,1,0,0,0,0,2,0
Барселона,Лига чемпионов 2020/2021,Миралем Пьянич,8.0,497,3,2,0,0,0,0,1,0
Барселона,Лига чемпионов 2020/2021,Антуан Гризманн,7.0,505,4,1,2,0,0,2,1,0
Барселона,Лига чемпионов 2020/2021,Жорди Альба,7.0,487,2,1,0,0,2,2,1,0
Барселона,Лига чемпионов 2020/2021,Педри,7.0,497,6,1,1,0,1,2,0,0
Барселона,Лига чемпионов 2020/2021,Серджиньо Дест,7.0,587,2,0,1,0,0,1,0,0
Барселона,Лига чемпионов 2020/2021,Франсишку Тринкау,7.0,337,3,3,0,0,0,0,1,0
Барселона,Лига чемпионов 2020/2021,Френки де Йонг,7.0,585,0,1,0,0,1,1,1,0
Барселона,Лига чемпионов 2020/2021,Лионель Месси,6.0,540,0,0,5,4,2,7,0,0
Барселона,Лига чемпионов 2020/2021,Мартин Брэйтуэйт,6.0,235,1,4,3,1,1,4,0,0
Барселона,Лига чемпионов 2020/2021,Серджи Бускетс,6.0,337,4,2,0,0,0,0,1,0
Барселона,Лига чемпионов 2020/2021,Усман Дембеле,6.0,383,2,2,3,1,2,5,0,0
Барселона,Лига чемпионов 2020/2021,Хуниор Фирпо,6.0,258,0,5,0,0,0,0,1,0
Барселона,Лига чемпионов 2020/2021,Оскар Мингеса,5.0,244,1,2,0,0,1,1,1,0
Барселона,Лига чемпионов 2020/2021,Рикард Пуч,4.0,90,0,4,0,0,0,0,0,0
Барселона,Лига чемпионов 2020/2021,Анссумане Фати,3.0,161,2,1,1,0,2,3,0,0
Барселона,Лига чемпионов 2020/2021,Жерар Пике,3.0,236,1,0,1,0,0,1,0,1
Барселона,Лига чемпионов 2020/2021,Карлес Аленья,3.0,124,0,2,0,0,0,0,0,0
Барселона,Лига чемпионов 2020/2021,Рональд Араухо,3.0,148,2,1,0,0,0,0,0,0
Барселона,Лига чемпионов 2020/2021,Серджи Роберто,3.0,183,1,1,0,0,0,0,1,0
Барселона,Лига чемпионов 2020/2021,Конрад де ла Фуэнте,2.0,19,0,2,0,0,0,0,0,0
Барселона,Лига чемпионов 2020/2021,Филиппе Коутиньо,2.0,136,2,0,1,0,0,1,0,0
Барселона,Лига чемпионов 2020/2021,Илайш Мориба,1.0,12,0,1,0,0,0,0,0,0
Барселона,Лига чемпионов 2020/2021,Матеус Фернандес,1.0,18,0,1,0,0,0,0,0,0
Барселона,Лига чемпионов 2020/2021,Самюэль Умтити,1.0,36,0,1,0,0,0,0,1,0
Барселона,Лига чемпионов 2020/2021,Всего,,7217,39,39,18,6,12,30,12,1
Барселона,Испания. Суперкубок 2020/2021,Антуан Гризманн,2.0,240,0,0,2,0,1,3,0,0
Барселона,Испания. Суперкубок 2020/2021,Жорди Альба,2.0,240,0,0,0,0,1,1,1,0
Барселона,Испания. Суперкубок 2020/2021,Клеман Лангле,2.0,225,1,0,0,0,0,0,1,0
Барселона,Испания. Суперкубок 2020/2021,Мартин Брэйтуэйт,2.0,111,1,1,0,0,0,0,0,0
Барселона,Испания. Суперкубок 2020/2021,Миралем Пьянич,2.0,64,0,2,0,0,0,0,0,0
Барселона,Испания. Суперкубок 2020/2021,Оскар Мингеса,2.0,189,1,1,0,0,0,0,1,0
Барселона,Испания. Суперкубок 2020/2021,Педри,2.0,178,2,0,0,0,0,0,0,0
Барселона,Испания. Суперкубок 2020/2021,Рикард Пуч,2.0,55,0,2,0,0,0,0,0,0
Барселона,Испания. Суперкубок 2020/2021,Рональд Араухо,2.0,240,0,0,0,0,0,0,0,0
Барселона,Испания. Суперкубок 2020/2021,Серджи Бускетс,2.0,187,2,0,0,0,0,0,0,0
Барселона,Испания. Суперкубок 2020/2021,Усман Дембеле,2.0,208,1,0,0,0,0,0,1,0
Барселона,Испания. Суперкубок 2020/2021,Франсишку Тринкау,2.0,59,0,2,0,0,0,0,0,0
Барселона,Испания. Суперкубок 2020/2021,Френки де Йонг,2.0,240,0,0,1,0,0,1,0,0
Барселона,Испания. Суперкубок 2020/2021,Лионель Месси,1.0,120,0,0,0,0,0,0,0,1
Барселона,Испания. Суперкубок 2020/2021,Серджиньо Дест,1.0,46,1,0,0,0,0,0,0,0
Барселона,Испания. Суперкубок 2020/2021,Хуниор Фирпо,1.0,7,0,1,0,0,0,0,0,0
Барселона,Испания. Суперкубок 2020/2021,Всего,,2409,9,9,3,–,2,5,4,1
Барселона,Испания. Кубок 2020/2021,Антуан Гризманн,6.0,541,3,1,3,0,4,7,0,0
Барселона,Испания. Кубок 2020/2021,Педри,6.0,430,4,2,0,0,2,2,0,0
Барселона,Испания. Кубок 2020/2021,Серджи Бускетс,6.0,471,2,1,0,0,0,0,0,0
Барселона,Испания. Кубок 2020/2021,Усман Дембеле,6.0,339,1,4,2,0,0,2,1,0
Барселона,Испания. Кубок 2020/2021,Жорди Альба,5.0,443,0,1,2,0,5,7,2,0
Барселона,Испания. Кубок 2020/2021,Клеман Лангле,5.0,436,0,1,0,0,0,0,0,0
Барселона,Испания. Кубок 2020/2021,Лионель Месси,5.0,510,0,0,3,0,1,4,2,0
Барселона,Испания. Кубок 2020/2021,Мартин Брэйтуэйт,5.0,220,0,4,2,0,0,2,1,0
Барселона,Испания. Кубок 2020/2021,Оскар Мингеса,5.0,465,2,0,0,0,0,0,1,0
Барселона,Испания. Кубок 2020/2021,Франсишку Тринкау,5.0,238,3,2,0,0,0,0,1,0
Барселона,Испания. Кубок 2020/2021,Френки де Йонг,5.0,510,0,0,3,0,2,5,0,0
Барселона,Испания. Кубок 2020/2021,Рикард Пуч,4.0,165,2,2,0,0,0,0,1,0
Барселона,Испания. Кубок 2020/2021,Рональд Араухо,4.0,339,0,1,0,0,0,0,0,0
Барселона,Испания. Кубок 2020/2021,Хуниор Фирпо,4.0,321,1,1,0,0,0,0,0,0
Барселона,Испания. Кубок 2020/2021,Илайш Мориба,3.0,127,1,2,0,0,0,0,0,0
Барселона,Испания. Кубок 2020/2021,Серджиньо Дест,3.0,201,2,1,0,0,0,0,0,0
Барселона,Испания. Кубок 2020/2021,Жерар Пике,2.0,202,1,0,1,0,0,1,0,0
Барселона,Испания. Кубок 2020/2021,Самюэль Умтити,2.0,153,2,0,0,0,0,0,0,0
Барселона,Испания. Кубок 2020/2021,Серджи Роберто,2.0,74,1,1,0,0,0,0,0,0
Барселона,Испания. Кубок 2020/2021,Конрад де ла Фуэнте,1.0,20,0,1,0,0,0,0,0,0
Барселона,Испания. Кубок 2020/2021,Миралем Пьянич,1.0,120,0,0,0,0,0,0,1,0
Барселона,Испания. Кубок 2020/2021,Всего,,6325,25,25,16,–,14,30,10,–
Барселона,Испания. Ла Лига 2020/2021,Педри,35.0,2317,20,9,2,0,3,5,2,0
Барселона,Испания. Ла Лига 2020/2021,Френки де Йонг,35.0,2996,5,2,3,0,4,7,4,0
Барселона,Испания. Ла Лига 2020/2021,Антуан Гризманн,33.0,2382,18,4,12,1,7,19,4,0
Барселона,Испания. Ла Лига 2020/2021,Лионель Месси,33.0,2844,1,2,28,3,9,37,4,0
Барселона,Испания. Ла Лига 2020/2021,Серджи Бускетс,33.0,2266,19,4,0,0,4,4,8,0
Барселона,Испания. Ла Лига 2020/2021,Жорди Альба,32.0,2806,6,0,3,0,5,8,9,0
Барселона,Испания. Ла Лига 2020/2021,Клеман Лангле,31.0,2308,4,4,1,0,0,1,6,1
Барселона,Испания. Ла Лига 2020/2021,Серджиньо Дест,27.0,1797,14,5,2,0,1,3,1,0
Барселона,Испания. Ла Лига 2020/2021,Усман Дембеле,27.0,1546,12,11,5,0,2,7,2,0
Барселона,Испания. Ла Лига 2020/2021,Мартин Брэйтуэйт,26.0,1103,4,15,2,0,2,4,3,0
Барселона,Испания. Ла Лига 2020/2021,Франсишку Тринкау,26.0,640,1,24,3,0,2,5,1,0
Барселона,Испания. Ла Лига 2020/2021,Оскар Мингеса,25.0,1846,7,3,2,0,2,4,4,0
Барселона,Испания. Ла Лига 2020/2021,Рональд Араухо,21.0,1289,4,8,2,0,1,3,2,0
Барселона,Испания. Ла Лига 2020/2021,Миралем Пьянич,17.0,610,5,11,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2020/2021,Жерар Пике,16.0,1332,4,0,0,0,0,0,4,0
Барселона,Испания. Ла Лига 2020/2021,Серджи Роберто,14.0,909,2,5,1,0,2,3,1,0
Барселона,Испания. Ла Лига 2020/2021,Илайш Мориба,12.0,406,2,10,1,0,2,3,1,0
Барселона,Испания. Ла Лига 2020/2021,Самюэль Умтити,12.0,601,1,6,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2020/2021,Филиппе Коутиньо,12.0,661,7,4,2,0,2,4,0,0
Барселона,Испания. Ла Лига 2020/2021,Рикард Пуч,11.0,206,1,9,1,0,0,1,0,0
Барселона,Испания. Ла Лига 2020/2021,Анссумане Фати,7.0,438,6,1,4,0,0,4,1,0
Барселона,Испания. Ла Лига 2020/2021,Хуниор Фирпо,6.0,244,0,4,1,0,1,2,1,0
Барселона,Испания. Ла Лига 2020/2021,Карлес Аленья,2.0,48,0,2,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2020/2021,Всего,,31595,143,143,75,4,49,124,61,1
Барселона,Испания. Ла Лига 2019/2020,Антуан Гризманн,35.0,2565,16,4,9,0,5,14,2,0
Барселона,Испания. Ла Лига 2019/2020,Жерар Пике,35.0,3096,4,0,1,0,0,1,15,0
Барселона,Испания. Ла Лига 2019/2020,Артуро Видаль,33.0,1679,8,17,8,0,2,10,4,0
Барселона,Испания. Ла Лига 2019/2020,Лионель Месси,33.0,2881,1,1,25,5,23,48,4,0
Барселона,Испания. Ла Лига 2019/2020,Серджи Бускетс,33.0,2496,13,4,2,0,2,4,10,0
Барселона,Испания. Ла Лига 2019/2020,Нелсон Семеду,32.0,2103,6,8,1,0,4,5,2,0
Барселона,Испания. Ла Лига 2019/2020,Иван Ракитич,31.0,1599,10,15,1,0,3,4,5,0
Барселона,Испания. Ла Лига 2019/2020,Серджи Роберто,30.0,2345,6,3,1,0,2,3,7,0
Барселона,Испания. Ла Лига 2019/2020,Френки де Йонг,29.0,2125,9,5,2,0,2,4,1,1
Барселона,Испания. Ла Лига 2019/2020,Клеман Лангле,28.0,2428,2,0,2,0,1,3,7,2
Барселона,Испания. Ла Лига 2019/2020,Луис Суарес,28.0,2006,8,6,16,1,8,24,4,0
Барселона,Испания. Ла Лига 2019/2020,Жорди Альба,27.0,2191,4,2,2,0,6,8,7,0
Барселона,Испания. Ла Лига 2019/2020,Анссумане Фати,24.0,1038,10,13,7,0,1,8,2,1
Барселона,Испания. Ла Лига 2019/2020,Артур,21.0,1192,10,7,3,0,3,6,1,0
Барселона,Испания. Ла Лига 2019/2020,Хуниор Фирпо,17.0,1017,3,6,1,0,1,2,5,0
Барселона,Испания. Ла Лига 2019/2020,Самюэль Умтити,13.0,949,0,3,0,0,0,0,6,0
Барселона,Испания. Ла Лига 2019/2020,Мартин Брэйтуэйт,11.0,410,3,7,1,0,1,2,1,0
Барселона,Испания. Ла Лига 2019/2020,Рикард Пуч,11.0,513,3,6,0,0,2,2,1,0
Барселона,Испания. Ла Лига 2019/2020,Карлес Перес,10.0,479,3,5,1,0,3,4,0,0
Барселона,Испания. Ла Лига 2019/2020,Рональд Араухо,6.0,239,0,4,0,0,0,0,0,1
Барселона,Испания. Ла Лига 2019/2020,Усман Дембеле,5.0,358,0,2,1,0,0,1,1,1
Барселона,Испания. Ла Лига 2019/2020,Карлес Аленья,4.0,173,1,2,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2019/2020,Рафинья,3.0,188,2,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2019/2020,Жан-Клер Тодибо,2.0,78,1,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2019/2020,Алекс Кольядо,1.0,6,0,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2019/2020,Мусса Ваге,1.0,90,0,0,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2019/2020,Всего,,34244,123,123,84,6,69,153,85,6
Барселона,Испания. Ла Лига 2018/2019,Жорди Альба,36.0,2991,0,4,2,0,10,12,6,0
Барселона,Испания. Ла Лига 2018/2019,Жерар Пике,35.0,3150,0,0,4,0,4,8,6,0
Барселона,Испания. Ла Лига 2018/2019,Серджи Бускетс,35.0,2725,10,5,0,0,1,1,10,0
Барселона,Испания. Ла Лига 2018/2019,Иван Ракитич,34.0,2648,4,5,3,0,5,8,5,1
Барселона,Испания. Ла Лига 2018/2019,Лионель Месси,34.0,2714,1,5,36,4,15,51,3,0
Барселона,Испания. Ла Лига 2018/2019,Филиппе Коутиньо,34.0,2032,14,12,5,0,2,7,2,0
Барселона,Испания. Ла Лига 2018/2019,Артуро Видаль,33.0,1940,11,11,3,0,7,10,7,0
Барселона,Испания. Ла Лига 2018/2019,Луис Суарес,33.0,2831,4,2,21,4,6,27,5,0
Барселона,Испания. Ла Лига 2018/2019,Серджи Роберто,29.0,2092,4,6,0,0,7,7,3,0
Барселона,Испания. Ла Лига 2018/2019,Усман Дембеле,29.0,1679,18,9,8,0,5,13,1,0
Барселона,Испания. Ла Лига 2018/2019,Артур,27.0,1449,19,8,0,0,1,1,2,0
Барселона,Испания. Ла Лига 2018/2019,Нелсон Семеду,26.0,1607,7,6,1,0,2,3,4,0
Барселона,Испания. Ла Лига 2018/2019,Клеман Лангле,23.0,1936,2,1,1,0,0,1,8,1
Барселона,Испания. Ла Лига 2018/2019,Карлес Аленья,17.0,642,5,11,2,0,0,2,2,0
Барселона,Испания. Ла Лига 2018/2019,Малком,15.0,617,3,9,1,0,2,3,0,0
Барселона,Испания. Ла Лига 2018/2019,Самюэль Умтити,14.0,1190,1,1,0,0,1,1,4,0
Барселона,Испания. Ла Лига 2018/2019,Томас Вермален,9.0,589,2,2,0,0,0,0,2,0
Барселона,Испания. Ла Лига 2018/2019,Мунир,7.0,153,1,6,1,0,1,2,0,0
Барселона,Испания. Ла Лига 2018/2019,Рафинья,5.0,226,3,2,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2018/2019,Кевин-Принс Боатенг,3.0,240,1,0,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2018/2019,Мусса Ваге,3.0,225,0,1,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2018/2019,Денис Суарес,2.0,19,0,2,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2018/2019,Джейсон Мурильо,2.0,113,0,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2018/2019,Жан-Клер Тодибо,2.0,158,1,0,0,0,0,0,2,0
Барселона,Испания. Ла Лига 2018/2019,Рикард Пуч,2.0,157,1,0,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2018/2019,Абель Руис,1.0,22,0,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2018/2019,Алекс Кольядо,1.0,85,0,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2018/2019,Карлес Перес,1.0,18,0,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2018/2019,Всего,,34248,112,112,88,8,69,157,75,2
Барселона,Испания. Ла Лига 2017/2018,Лионель Месси,36.0,3000,0,4,34,2,15,49,3,0
Барселона,Испания. Ла Лига 2017/2018,Иван Ракитич,35.0,2842,7,4,1,0,5,6,4,0
Барселона,Испания. Ла Лига 2017/2018,Паулиньо,34.0,1953,8,13,9,0,3,12,2,0
Барселона,Испания. Ла Лига 2017/2018,Жорди Альба,33.0,2747,3,3,2,0,10,12,8,0
Барселона,Испания. Ла Лига 2017/2018,Луис Суарес,33.0,2903,3,1,25,1,13,38,9,0
Барселона,Испания. Ла Лига 2017/2018,Серджи Бускетс,31.0,2601,8,1,1,0,5,6,8,0
Барселона,Испания. Ла Лига 2017/2018,Андрес Иньеста,30.0,1847,23,5,1,0,2,3,1,0
Барселона,Испания. Ла Лига 2017/2018,Жерар Пике,30.0,2634,2,1,2,0,0,2,9,0
Барселона,Испания. Ла Лига 2017/2018,Серджи Роберто,30.0,2233,6,6,1,0,7,8,3,2
Барселона,Испания. Ла Лига 2017/2018,Самюэль Умтити,25.0,2190,1,1,1,0,0,1,7,0
Барселона,Испания. Ла Лига 2017/2018,Нелсон Семеду,24.0,1503,5,7,0,0,1,1,1,0
Барселона,Испания. Ла Лига 2017/2018,Денис Суарес,18.0,596,1,14,2,0,2,4,1,0
Барселона,Испания. Ла Лига 2017/2018,Филиппе Коутиньо,18.0,1306,10,2,8,0,5,13,1,0
Барселона,Испания. Ла Лига 2017/2018,Пако Алькасер,17.0,702,7,9,4,0,4,8,0,0
Барселона,Испания. Ла Лига 2017/2018,Усман Дембеле,17.0,935,10,5,3,0,7,10,2,0
Барселона,Испания. Ла Лига 2017/2018,Андре Гомеш,16.0,639,4,10,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2017/2018,Алеиш Видаль,15.0,464,4,11,1,0,2,3,0,0
Барселона,Испания. Ла Лига 2017/2018,Томас Вермален,14.0,1020,2,2,0,0,1,1,3,0
Барселона,Испания. Ла Лига 2017/2018,Люка Динь,12.0,706,2,4,0,0,2,2,2,0
Барселона,Испания. Ла Лига 2017/2018,Жерар Деулофеу,10.0,508,5,5,1,0,2,3,1,0
Барселона,Испания. Ла Лига 2017/2018,Хавьер Маскерано,7.0,541,0,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2017/2018,Йерри Мина,5.0,371,0,1,0,0,1,1,2,0
Барселона,Испания. Ла Лига 2017/2018,Хосе Арнаис,1.0,6,0,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2017/2018,Всего,,34247,111,111,96,3,87,183,68,2
Барселона,Испания. Ла Лига 2016/2017,Луис Суарес,35.0,2866,9,1,29,0,17,46,8,0
Барселона,Испания. Ла Лига 2016/2017,Лионель Месси,34.0,2834,4,2,37,6,10,47,6,0
Барселона,Испания. Ла Лига 2016/2017,Серджи Бускетс,33.0,2693,9,0,0,0,3,3,9,0
Барселона,Испания. Ла Лига 2016/2017,Иван Ракитич,32.0,2351,10,6,8,0,6,14,5,0
Барселона,Испания. Ла Лига 2016/2017,Серджи Роберто,32.0,2388,5,6,0,0,6,6,5,0
Барселона,Испания. Ла Лига 2016/2017,Андре Гомеш,30.0,1603,12,13,3,0,2,5,3,0
Барселона,Испания. Ла Лига 2016/2017,Неймар,30.0,2652,2,0,13,1,16,29,6,1
Барселона,Испания. Ла Лига 2016/2017,Денис Суарес,26.0,1195,10,14,1,0,4,5,1,0
Барселона,Испания. Ла Лига 2016/2017,Жорди Альба,26.0,1970,2,5,1,0,6,7,4,0
Барселона,Испания. Ла Лига 2016/2017,Жерар Пике,25.0,2193,2,0,2,0,2,4,6,0
Барселона,Испания. Ла Лига 2016/2017,Самюэль Умтити,25.0,2134,2,1,1,0,0,1,4,0
Барселона,Испания. Ла Лига 2016/2017,Хавьер Маскерано,25.0,1921,0,5,1,1,3,4,6,0
Барселона,Испания. Ла Лига 2016/2017,Андрес Иньеста,23.0,1339,3,10,0,0,3,3,2,0
Барселона,Испания. Ла Лига 2016/2017,Пако Алькасер,20.0,861,3,14,6,0,4,10,1,0
Барселона,Испания. Ла Лига 2016/2017,Арда Туран,18.0,1248,5,4,3,0,3,6,1,0
Барселона,Испания. Ла Лига 2016/2017,Рафинья,18.0,1082,8,4,6,0,2,8,1,0
Барселона,Испания. Ла Лига 2016/2017,Люка Динь,17.0,1178,6,3,0,0,0,0,3,0
Барселона,Испания. Ла Лига 2016/2017,Жереми Матье,13.0,1041,2,1,1,0,0,1,0,0
Барселона,Испания. Ла Лига 2016/2017,Алеиш Видаль,6.0,476,0,1,2,0,2,4,0,0
Барселона,Испания. Ла Лига 2016/2017,Карлес Аленья,3.0,43,0,3,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2016/2017,Марлон,2.0,180,0,0,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2016/2017,Мунир,1.0,21,0,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2016/2017,Всего,,34269,94,94,114,8,89,203,72,1
Барселона,Испания. Ла Лига 2015/2016,Иван Ракитич,36.0,2586,14,6,7,0,2,9,3,0
Барселона,Испания. Ла Лига 2015/2016,Луис Суарес,35.0,3150,0,0,40,3,20,60,6,0
Барселона,Испания. Ла Лига 2015/2016,Серджи Бускетс,35.0,2908,10,1,0,0,4,4,6,0
Барселона,Испания. Ла Лига 2015/2016,Неймар,34.0,3057,1,0,24,5,16,40,6,0
Барселона,Испания. Ла Лига 2015/2016,Лионель Месси,33.0,2731,2,2,26,3,17,43,3,0
Барселона,Испания. Ла Лига 2015/2016,Хавьер Маскерано,32.0,2695,3,1,0,0,0,0,9,1
Барселона,Испания. Ла Лига 2015/2016,Жорди Альба,31.0,2593,4,2,0,0,8,8,2,0
Барселона,Испания. Ла Лига 2015/2016,Серджи Роберто,31.0,1923,9,10,0,0,5,5,1,0
Барселона,Испания. Ла Лига 2015/2016,Жерар Пике,30.0,2593,6,0,2,0,1,3,12,0
Барселона,Испания. Ла Лига 2015/2016,Дани Алвес,29.0,2152,7,5,0,0,4,4,6,0
Барселона,Испания. Ла Лига 2015/2016,Андрес Иньеста,28.0,2250,5,3,1,0,2,3,2,0
Барселона,Испания. Ла Лига 2015/2016,Жереми Матье,21.0,1269,4,9,0,0,2,2,2,0
Барселона,Испания. Ла Лига 2015/2016,Арда Туран,18.0,823,6,9,2,0,3,5,5,0
Барселона,Испания. Ла Лига 2015/2016,Мунир,15.0,832,5,7,3,0,3,6,0,0
Барселона,Испания. Ла Лига 2015/2016,Марк Бартра,13.0,504,1,9,2,0,1,3,0,0
Барселона,Испания. Ла Лига 2015/2016,Сандро Рамирес,10.0,352,3,6,0,0,1,1,0,0
Барселона,Испания. Ла Лига 2015/2016,Томас Вермален,10.0,510,3,4,1,0,0,1,2,0
Барселона,Испания. Ла Лига 2015/2016,Алеиш Видаль,9.0,546,2,3,0,0,1,1,1,0
Барселона,Испания. Ла Лига 2015/2016,Адриано,8.0,436,2,4,0,0,1,1,0,0
Барселона,Испания. Ла Лига 2015/2016,Рафинья,6.0,284,2,3,1,0,0,1,0,0
Барселона,Испания. Ла Лига 2015/2016,Жерар Гумбау,3.0,45,0,3,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2015/2016,Дуглас Перейра,1.0,13,0,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2015/2016,Серджи Сампер,1.0,30,0,1,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2015/2016,Всего,,34282,89,89,109,11,91,200,66,1
Барселона,Испания. Ла Лига 2014/2015,Лионель Месси,38.0,3375,0,1,43,5,21,64,4,0
Барселона,Испания. Ла Лига 2014/2015,Педро,35.0,1549,7,20,6,0,6,12,3,0
Барселона,Испания. Ла Лига 2014/2015,Неймар,33.0,2576,9,4,22,1,10,32,6,0
Барселона,Испания. Ла Лига 2014/2015,Серджи Бускетс,33.0,2496,8,4,1,0,2,3,7,0
Барселона,Испания. Ла Лига 2014/2015,Иван Ракитич,32.0,2043,11,9,5,0,7,12,1,0
Барселона,Испания. Ла Лига 2014/2015,Хави,31.0,1790,10,12,2,0,9,11,1,0
Барселона,Испания. Ла Лига 2014/2015,Дани Алвес,30.0,2525,5,1,0,0,6,6,6,1
Барселона,Испания. Ла Лига 2014/2015,Жереми Матье,28.0,2109,3,5,2,0,0,2,5,0
Барселона,Испания. Ла Лига 2014/2015,Хавьер Маскерано,28.0,2210,4,2,0,0,0,0,8,1
Барселона,Испания. Ла Лига 2014/2015,Жерар Пике,27.0,2385,0,1,5,0,1,6,6,0
Барселона,Испания. Ла Лига 2014/2015,Жорди Альба,27.0,2335,4,0,1,0,4,5,6,1
Барселона,Испания. Ла Лига 2014/2015,Луис Суарес,27.0,2181,11,2,16,0,17,33,4,0
Барселона,Испания. Ла Лига 2014/2015,Андрес Иньеста,24.0,1595,14,5,0,0,1,1,3,0
Барселона,Испания. Ла Лига 2014/2015,Рафинья,24.0,1163,8,11,1,0,2,3,2,0
Барселона,Испания. Ла Лига 2014/2015,Адриано,16.0,959,1,6,0,0,1,1,2,0
Барселона,Испания. Ла Лига 2014/2015,Марк Бартра,14.0,1038,2,3,1,0,3,4,1,0
Барселона,Испания. Ла Лига 2014/2015,Серджи Роберто,12.0,514,1,8,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2014/2015,Мунир,10.0,466,7,3,1,0,1,2,0,0
Барселона,Испания. Ла Лига 2014/2015,Мартин Монтойя,8.0,590,0,2,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2014/2015,Сандро Рамирес,7.0,152,0,7,2,0,0,2,0,0
Барселона,Испания. Ла Лига 2014/2015,Дуглас Перейра,2.0,101,1,1,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2014/2015,Томас Вермален,1.0,63,1,0,0,0,0,0,0,0
Барселона,Испания. Ла Лига 2014/2015,Всего,,34215,107,107,108,6,91,199,66,3
Барселона,Испания. Ла Лига 2013/2014,Педро,37.0,2370,18,9,15,0,10,25,3,0
